hour	channel	value	hour_text	channel_text	programs
9	14	0	17 Sep 2015 07:00 UTC	WEWS	None
9	15	0	17 Sep 2015 07:00 UTC	WKYC	None
9	16	0	17 Sep 2015 07:00 UTC	WUAB	None
9	17	0	17 Sep 2015 07:00 UTC	World	None
10	1	0	17 Sep 2015 08:00 UTC	AlJazeera	None
10	2	0	17 Sep 2015 08:00 UTC	CNN	None
10	3	0	17 Sep 2015 08:00 UTC	FOX-News	None
10	4	0	17 Sep 2015 08:00 UTC	France	None
10	5	0	17 Sep 2015 08:00 UTC	HLN	None
10	6	22	17 Sep 2015 08:00 UTC	KABC	Nightline
10	7	0	17 Sep 2015 08:00 UTC	KCAL	None
10	8	0	17 Sep 2015 08:00 UTC	KCBS	None
10	9	0	17 Sep 2015 08:00 UTC	KMEX	None
10	10	0	17 Sep 2015 08:00 UTC	KNBC	None
10	11	0	17 Sep 2015 08:00 UTC	KTTV-FOX	None
10	12	0	17 Sep 2015 08:00 UTC	MSNBC	None
10	13	0	17 Sep 2015 08:00 UTC	Spain	None
10	14	0	17 Sep 2015 08:00 UTC	WEWS	None
10	15	0	17 Sep 2015 08:00 UTC	WKYC	None
10	16	0	17 Sep 2015 08:00 UTC	WUAB	None
10	17	0	17 Sep 2015 08:00 UTC	World	None
11	1	0	17 Sep 2015 09:00 UTC	AlJazeera	None
11	2	331	17 Sep 2015 09:00 UTC	CNN	Early Start
11	3	0	17 Sep 2015 09:00 UTC	FOX-News	None
11	4	0	17 Sep 2015 09:00 UTC	France	None
11	5	0	17 Sep 2015 09:00 UTC	HLN	None
11	6	0	17 Sep 2015 09:00 UTC	KABC	None
11	7	0	17 Sep 2015 09:00 UTC	KCAL	None
11	8	0	17 Sep 2015 09:00 UTC	KCBS	None
11	9	0	17 Sep 2015 09:00 UTC	KMEX	None
11	10	0	17 Sep 2015 09:00 UTC	KNBC	None
11	11	0	17 Sep 2015 09:00 UTC	KTTV-FOX	None
11	12	0	17 Sep 2015 09:00 UTC	MSNBC	None
11	13	0	17 Sep 2015 09:00 UTC	Spain	None
11	14	0	17 Sep 2015 09:00 UTC	WEWS	None
11	15	0	17 Sep 2015 09:00 UTC	WKYC	None
11	16	0	17 Sep 2015 09:00 UTC	WUAB	None
11	17	0	17 Sep 2015 09:00 UTC	World	None
12	1	0	17 Sep 2015 10:00 UTC	AlJazeera	None
12	2	328	17 Sep 2015 10:00 UTC	CNN	New Day
12	3	360	17 Sep 2015 10:00 UTC	FOX-News	Fox and Friends
12	4	0	17 Sep 2015 10:00 UTC	France	None
12	5	0	17 Sep 2015 10:00 UTC	HLN	None
12	6	0	17 Sep 2015 10:00 UTC	KABC	None
12	7	0	17 Sep 2015 10:00 UTC	KCAL	None
12	8	0	17 Sep 2015 10:00 UTC	KCBS	None
12	9	0	17 Sep 2015 10:00 UTC	KMEX	None
12	10	0	17 Sep 2015 10:00 UTC	KNBC	None
12	11	0	17 Sep 2015 10:00 UTC	KTTV-FOX	None
12	12	0	17 Sep 2015 10:00 UTC	MSNBC	None
12	13	0	17 Sep 2015 10:00 UTC	Spain	None
12	14	0	17 Sep 2015 10:00 UTC	WEWS	None
12	15	0	17 Sep 2015 10:00 UTC	WKYC	None
12	16	0	17 Sep 2015 10:00 UTC	WUAB	None
12	17	0	17 Sep 2015 10:00 UTC	World	None
13	1	0	17 Sep 2015 11:00 UTC	AlJazeera	None
13	2	310	17 Sep 2015 11:00 UTC	CNN	Newsroom
13	3	404	17 Sep 2015 11:00 UTC	FOX-News	Fox and Friends
13	4	0	17 Sep 2015 11:00 UTC	France	None
13	5	0	17 Sep 2015 11:00 UTC	HLN	None
13	6	0	17 Sep 2015 11:00 UTC	KABC	None
13	7	0	17 Sep 2015 11:00 UTC	KCAL	None
13	8	0	17 Sep 2015 11:00 UTC	KCBS	None
13	9	0	17 Sep 2015 11:00 UTC	KMEX	None
13	10	107	17 Sep 2015 11:00 UTC	KNBC	KNBC Early Today
13	11	0	17 Sep 2015 11:00 UTC	KTTV-FOX	None
13	12	0	17 Sep 2015 11:00 UTC	MSNBC	None
13	13	0	17 Sep 2015 11:00 UTC	Spain	None
13	14	0	17 Sep 2015 11:00 UTC	WEWS	None
13	15	0	17 Sep 2015 11:00 UTC	WKYC	None
13	16	0	17 Sep 2015 11:00 UTC	WUAB	None
13	17	0	17 Sep 2015 11:00 UTC	World	None
14	1	0	17 Sep 2015 12:00 UTC	AlJazeera	None
